age,name,sex,vowel,stress,word,F1,F2,t
54,SB,F,AH,0,AND,431.8,1180.1,63.346
54,SB,F,EH,1,EVERYBODY,750.4,1720.9,63.776
54,SB,F,IY,0,EVERYBODY,381.4,1756.4,63.919
54,SB,F,IY,0,EVERYBODY,405.2,2356,64.125
54,SB,F,UW,1,KNEW,389.6,2451.8,64.266
54,SB,F,EH,1,EVERY,606.7,2409.7,64.405
54,SB,F,IY,0,EVERY,404.5,2425,64.646
54,SB,F,EY,1,NEIGHBOUR,519.2,1910.9,65.71
54,SB,F,EH,0,NEIGHBOUR,619.9,2422.5,66.01
54,SB,F,IH,1,IN,480.9,2462.3,66.148
54,SB,F,AH,0,THE,473.6,1430.7,66.307
54,SB,F,OW,1,CLOSE,641.3,969.7,66.508
54,SB,F,AH,0,ERM,560.7,1560.5,67.439
54,SB,F,AY,1,BY,809.6,1488.8,68.286
54,SB,F,EY,1,NAME,637.8,1868.5,68.558
54,SB,F,EH,0,WHEREAS,783.9,2528.9,69.102
54,SB,F,AE,1,WHEREAS,523.9,2563.2,69.162
54,SB,F,AY,1,I'VE,645.4,998.8,69.329
54,SB,F,IH,1,LIVED,508.4,2583.4,69.582
54,SB,F,AA,1,ON,535.2,1147.5,69.759
54,SB,F,AH,0,THIS,422.2,1837.7,69.933
54,SB,F,AE,1,AVENUE,588.3,1227.3,70.646
54,SB,F,AH,0,AVENUE,400.6,1344.5,70.775
54,SB,F,IH,1,HERE,459.1,2588.3,71.239
54,SB,F,AO,1,FOR,488.7,908.5,71.676
54,SB,F,EH,1,TWENTY,570.5,1688.9,74.009
54,SB,F,IY,0,TWENTY,330.3,2489.5,74.955
54,SB,F,AO,1,FOUR,456.3,854.1,76.066
54,SB,F,IH,1,YEARS,478.6,2650.8,76.513
54,SB,F,AE,1,AND,613.7,1265.4,77.792
54,SB,F,AY,1,I,496.9,1474.6,77.882
54,SB,F,IH,1,STILL,477.7,1025.8,78.128
54,SB,F,OW,1,DON'T,483.9,1005,78.311
54,SB,F,OW,1,KNOW,486.4,1204,78.495
54,SB,F,AH,0,THE,427.1,1075.6,78.679
54,SB,F,EY,1,NAMES,594.5,2748.2,78.811
54,SB,F,AH,0,OF,412.3,1118.2,79.261
54,SB,F,AH,1,SOME,527,1077.4,79.572
54,SB,F,AH,0,ERM,609.8,1736.3,81.813
54,SB,F,AY,1,I,951.3,1373.7,85.702
54,SB,F,UW,1,DO,441.5,2523.2,85.965
54,SB,F,AE,1,YEAH,587,1720.5,86.238
54,SB,F,AY,1,I,753,1414.9,86.394
54,SB,F,IH,1,THINK,491.6,2316,86.599
54,SB,F,AH,0,IT'S,444.4,1848,86.829
54,SB,F,IH,0,EXACTLY,452.3,1273.8,87.225
54,SB,F,AE,1,EXACTLY,648,1485.2,87.502
54,SB,F,IY,0,EXACTLY,406.8,1390.5,87.758
54,SB,F,AH,0,THE,391.9,1271.8,87.822
54,SB,F,EY,1,SAME,826.3,1640.7,88.055
54,SB,F,AE,1,YEAH,520.8,1683.3,88.779
54,SB,F,ER,1,PERSONALLY,486.5,1284,90.307
54,SB,F,AH,0,PERSONALLY,417.1,1363.7,90.48
54,SB,F,IY,0,PERSONALLY,599.5,2737.6,90.574
54,SB,F,AY,1,I,733.5,1183,90.642
54,SB,F,IH,1,THINK,481.9,2441.3,90.784
54,SB,F,AH,0,IT'S,392,855.4,90.923
54,SB,F,AH,0,A,515.9,1484.1,91.14
54,SB,F,AH,0,A,495.6,1340.4,91.36
54,SB,F,EY,1,SAFE,624,1703.9,91.569
54,SB,F,EY,1,PLACE,491.7,1833.6,91.873
54,SB,F,AH,0,TO,475.4,1149,92.174
54,SB,F,AY,1,LIVE,594.2,1583.4,92.292
54,SB,F,AE,1,YEAH,421.5,2180.4,92.581
54,SB,F,AE,1,YEAH,749.5,2638.2,97.824
54,SB,F,AH,0,ERM,508.7,1617.1,98.393
54,SB,F,AY,1,I,590.1,1475.6,99.307
54,SB,F,OW,1,KNOW,539.1,1263.4,99.45
54,SB,F,ER,1,PEARL,542.5,1049,99.769
54,SB,F,UW,1,WHO'S,413.1,2134.8,100.525
54,SB,F,AH,0,AN,465.7,1473.1,100.732
54,SB,F,EH,1,ELDERLY,674.7,2733.8,100.825
54,SB,F,ER,0,ELDERLY,500.4,1880.4,101.042
54,SB,F,IY,0,ELDERLY,428.4,2604.4,101.106
54,SB,F,EY,1,LADY,468.6,1611.7,101.178
54,SB,F,IY,0,LADY,533.8,2854.2,101.23
54,SB,F,EH,1,WELL,559.3,1886.3,101.333
54,SB,F,IY,1,SHE'S,378.5,2236.7,101.612
54,SB,F,AY,1,NINETY,546.6,1307.6,101.819
54,SB,F,IY,0,NINETY,487.2,2502,102.063
54,SB,F,AO,1,FOUR,459.3,895.8,102.303
54,SB,F,AH,0,ERM,480,1505.1,103.176
54,SB,F,IH,1,LIVES,398.9,2149.7,103.386
54,SB,F,AH,0,AT,471.8,1260.4,103.595
54,SB,F,AH,1,THE,476.4,1361.1,103.738
54,SB,F,AA,1,TOP,498.8,956.6,104.319
54,SB,F,AH,0,OF,385.5,1071.1,104.479
54,SB,F,AH,0,THE,463.4,1999.7,104.608
54,SB,F,AE,1,AVENUE,632.7,2397.9,104.659
54,SB,F,AH,0,AVENUE,464.5,1911.9,104.838
54,SB,F,AH,0,AND,858.4,1282.7,106.304
54,SB,F,AY,1,I'M,689.1,1280.9,106.625
54,SB,F,EH,1,FRIENDLY,760.2,1415.5,106.89
54,SB,F,IY,0,FRIENDLY,473.5,2045.5,107.05
54,SB,F,IH,1,WITH,432.9,1969.9,107.187
54,SB,F,AH,1,THE,507.2,1475.9,107.577
54,SB,F,AH,1,ONES,589.8,964.7,107.977
54,SB,F,AE,1,THAT,514,1469.5,108.334
54,SB,F,IH,1,LIVE,515.5,1722.8,108.558
54,SB,F,AH,0,ADJACENT,577.4,1800.4,110.222
54,SB,F,EY,1,ADJACENT,508.2,1897.4,110.421
54,SB,F,AH,0,ADJACENT,422.6,509.7,110.688
54,SB,F,UW,1,TO,416,1062.7,110.905
54,SB,F,AH,1,US,469.2,938.2,111.022
54,SB,F,OW,1,Y'KNOW,561.7,1463,111.505
54,SB,F,AH,0,ERM,451.2,1603.3,111.994
54,SB,F,AH,1,BUT,446.6,853.6,113.764
54,SB,F,AA,1,NOT,603.1,1007.8,113.993
54,SB,F,EH,1,WHERE,676.6,1519.4,114.377
54,SB,F,AY,1,I,553.4,1241.9,114.478
54,SB,F,OW,1,GO,484.6,1096.5,114.608
54,SB,F,AA,1,POPPING,501.9,899,114.867
54,SB,F,IH,0,POPPING,466.4,2430.5,115.053
54,SB,F,AH,0,IN,358,755.4,115.12
54,SB,F,ER,0,FOR,718,1683.7,115.28
54,SB,F,AH,0,A,425.3,1217.6,115.313
54,SB,F,AH,1,CUP,367.7,1086.6,115.473
54,SB,F,AH,0,OF,386.9,1271.5,115.57
54,SB,F,IY,1,TEA,426.2,2546.1,115.814
54,SB,F,ER,0,OR,466,1176.7,115.974
54,SB,F,EH,1,ANYTHING,472.6,1517.8,116.051
54,SB,F,IY,0,ANYTHING,412.4,2486.7,116.148
54,SB,F,AY,1,LIKE,545.6,1183.3,116.481
54,SB,F,AE,1,THAT,708,1128.2,116.648
54,SB,F,AH,1,BUT,479.5,941.7,116.901
54,SB,F,AY,1,I'D,656.6,1106.7,117.112
54,SB,F,ER,1,CERTAINLY,509,986.3,117.36
54,SB,F,AH,0,CERTAINLY,502.7,1606.5,117.428
54,SB,F,IY,0,CERTAINLY,575.4,2659.7,117.541
54,SB,F,AE,1,HAVE,759.6,2011.7,117.654
54,SB,F,AH,0,A,412.1,1039.4,117.738
54,SB,F,ER,0,CONVERSATION,421.2,1384.7,118.001
54,SB,F,EY,1,CONVERSATION,620.1,1779.5,118.152
54,SB,F,AH,0,CONVERSATION,388.9,900,118.411
54,SB,F,IH,1,WITH,446.4,2038.7,118.521
54,SB,F,AH,0,THEM,416.7,1373.1,118.651
54,SB,F,AH,0,IN,428.3,1804.2,118.741
54,SB,F,AH,0,THE,408.5,1573.9,118.864
54,SB,F,IY,1,STREET,397.1,2467.1,119.247
54,SB,F,AH,0,IF,715.1,1466.6,120.246
54,SB,F,AY,1,I,578.7,1258.4,120.325
54,SB,F,AH,1,BUMPED,428.5,899.1,120.449
54,SB,F,AH,0,INTO,422,1512.5,120.982
54,SB,F,AH,0,THEM,449.1,1447.5,121.078
54,SB,F,AE,1,YEAH,565.6,1821.7,121.365
54,SB,F,AH,0,ERM,580.3,841.1,127.688
54,SB,F,AY,1,MY,754.9,1385.4,128.29
54,SB,F,AE,1,DAD'S,849,1404.3,128.492
54,SB,F,AY,1,SIDE,815.5,1070.3,129.549
54,SB,F,AH,0,OF,485.7,1521.6,129.669
